35808176,121,20107,2
35808176,121,20107,2
35808176,121,20107,2
35808178,121,20107,2
35808182,121,20107,2
35808184,121,20107,2
35808185,121,20107,2
35808186,121,20107,2
35808188,121,20107,2
35808189,121,20107,2
35808205,121,20107,2
35808193,121,20107,2
35808193,121,20107,2
35808195,121,20107,2
35808200,121,20107,2
35808204,121,20107,2
35808208,121,20107,2
35808211,121,20107,2
35808211,121,20107,2
35808211,121,20107,2
35808213,121,20107,2
35808215,121,20107,2
35808215,121,20107,2
35808218,121,20107,2
35808221,121,20107,2
35808226,121,20107,2
35808227,121,20107,2
35808231,121,20107,2
35808234,121,20107,2
35808235,121,20107,2
35808235,121,20107,2
35808239,121,20107,2
35808238,121,20107,2
35808239,121,20107,2
35808241,121,20107,2
35808243,121,20107,2
35808243,121,20107,2
35808246,121,20107,2
35808247,121,20107,2
35808248,121,20107,2
35808249,121,20107,2
35808249,121,20107,2
35808252,121,20107,2
35808253,121,20107,2
35808253,121,20107,2
35808253,121,20107,2
35808254,121,20107,2
35808255,121,20107,2
35808257,121,20107,2
35808254,121,20107,2
35808255,121,20107,2
35808257,121,20107,2
35808263,121,20107,2
35808265,121,20107,2
35808264,121,20107,2
35808267,121,20107,2
35808272,121,20107,2
35808274,121,20107,2
35808274,121,20107,2
35808277,121,20107,2
35808279,121,20107,2
35808278,121,20107,2
35808282,121,20107,2
35808284,121,20107,2
35808286,121,20107,2
35808288,121,20107,2
35808291,121,20107,2
35808291,121,20107,2
35808293,121,20107,2
35808296,121,20107,2
35808296,121,20107,2
35808299,121,20107,2
35808302,121,20107,2
35808303,121,20107,2
35808302,121,20107,2
35808304,121,20107,2
35808296,121,20107,2
35808297,121,20107,2
35808301,121,20107,2
35808301,121,20107,2
35808301,121,20107,2
35808301,121,20107,2
35808301,121,20107,2
35808302,121,20107,2
35808307,121,20107,2
35808310,121,20107,2
35808313,121,20107,2
35808315,121,20107,2
35808316,121,20107,2
35808317,121,20107,2
35808319,121,20107,2
35808319,121,20107,2
35808320,121,20107,2
35808321,121,20107,2
35808324,121,20107,2
35808328,121,20107,2
35808330,121,20107,2
35808330,121,20107,2
35808334,121,20107,2
35808337,121,20107,2
35808338,121,20107,2
35808343,121,20107,2
35808344,121,20107,2
35808343,121,20107,2
35808344,121,20107,2
35808346,121,20107,2
35808348,121,20107,2
35808353,121,20107,2
35808354,121,20107,2
35808356,121,20107,2
35808359,121,20107,2
35808364,121,20107,2
35808364,121,20107,2
35808364,121,20107,2
35808364,121,20107,2
35808366,121,20107,2
35808368,121,20107,2
35808368,121,20107,2
35808368,121,20107,2
35808369,121,20107,2
35808374,121,20107,2
35808374,121,20107,2
35808373,121,20107,2
35808374,121,20107,2
35808378,121,20107,2
35808381,121,20107,2
35808384,121,20107,2
35808384,121,20107,2
35808387,121,20107,2
35808388,121,20107,2
35808389,121,20107,2
35808389,121,20107,2
35808390,121,20107,2
35808393,121,20107,2
35808395,121,20107,2
35808395,121,20107,2
35808399,121,20107,2
35808400,121,20107,2
35808401,121,20107,2
35808403,121,20107,2
35808424,121,20107,2
35808405,121,20107,2
35808407,121,20107,2
35808409,121,20107,2
35808412,121,20107,2
35808414,121,20107,2
35808417,121,20107,2
35808418,121,20107,2
35808417,121,20107,2
35808421,121,20107,2
35808423,121,20107,2
